sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
Alig_mis_R,Alig_mis,NA,NA,CSUSB,farm,GI,,Y,Alligator mississippiensis,Alligator,mississippiensis,Crocodilian,Aquatic,Crocodilian,Alligatoridae,Carnivore,Carnivore Generalist,,,,,,,X,LA,,,,Alligator Farm,NA,NA,1,metadata,J Perez-Marron,taken from captive alligator,no MK-Spike seq cells added,,,,,,,,,,,,,,,,,,,,,,,,,,
STP20,STP20,NA,NA,cryo,wild,fecal,water,Y,Desmognathus aeneus,Desmognathus,aeneus,Salamander,Aquatic-Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Streamside,Non-Meta,Oviparous,,NA,,5/4/2014,GA,fannin,Blue Ridge,Southern Metasedimentary Mountains,Coopers Creek,34.743032,-84.12524,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP24,STP24,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,46,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP25,STP25,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,58,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP26,STP26,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,47,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP27,STP27,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,38,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP29,STP29,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,NA,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP30,STP30,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,53,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP35,STP35,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee,Plethodon,chattahoochee,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,52,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP36,STP36,NA,NA,cryo,wild,fecal,water,Y,Desmognathus,Desmognathus,,Salamander,Aquatic,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Varies,Metamorphic,Oviparous,,42,,5/5/2014,GA,towns,Blue Ridge,Southern Crystalline Ridges and Mountains,Brasstown Bald,34.86977,-83.81081,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
